source,target,tgt_lng
Soul of Bat,﻿蝙蝠之魂,zh-CN
ソウルオブバット,﻿蝙蝠之魂,zh-CN
Fire of Bat,蝙蝠之魂：火焰,zh-CN
ファイアオブバット,蝙蝠之魂：火焰,zh-CN
Echo of Bat,蝙蝠之魂：声波,zh-CN
エコーオブバット,蝙蝠之魂：声波,zh-CN
Force of Echo,蝙蝠之魂：超声波,zh-CN
クレイジーエコー,蝙蝠之魂：超声波,zh-CN
Soul of Wolf,狼之魂,zh-CN
ソウルオブウルフ,狼之魂,zh-CN
Power of Wolf,狼之魂：速度,zh-CN
パワーオブウルフ,狼之魂：速度,zh-CN
Skill of Wolf,狼之魂：必杀,zh-CN
スキルオブウルフ,狼之魂：必杀,zh-CN
Form of Mist,雾之魂,zh-CN
ミスト,雾之魂,zh-CN
Power of Mist,雾之魂：力量,zh-CN
パワーオブミスト,雾之魂：力量,zh-CN
Gas Cloud,雾之魂：毒雾,zh-CN
ガスクラウド,雾之魂：毒雾,zh-CN
Cube of Zoe,神奇的魔方,zh-CN
マテライズキューブ,神奇的魔方,zh-CN
Spirit Orb,魂之水晶,zh-CN
魂のオーブ,魂之水晶,zh-CN
Gravity Boots,浮身靴,zh-CN
浮身のブーツ,浮身靴,zh-CN
Leap Stone,飞翔石,zh-CN
飛翔石,飞翔石,zh-CN
Holy Symbol,圣洁之像,zh-CN
ホーリーシンボル,圣洁之像,zh-CN
Fairie Scroll,妖精之书,zh-CN
妖精の書,妖精之书,zh-CN
Jewel of Open,开启封印的宝石,zh-CN
アンロックジュエル,开启封印的宝石,zh-CN
Merman Statue,人鱼之像,zh-CN
人魚の像,人鱼之像,zh-CN
Bat Card,蝙蝠之素,zh-CN
コウモリの素,蝙蝠之素,zh-CN
Ghost Card,幽灵之素,zh-CN
ゴーストの素,幽灵之素,zh-CN
Faerie Card,妖精之素,zh-CN
妖精の素,妖精之素,zh-CN
Demon Card,子恶魔之素,zh-CN
子悪魔の素,子恶魔之素,zh-CN
Sword Card,剑魔之素,zh-CN
剣魔の素,剑魔之素,zh-CN
Fairy Card,半妖精之素,zh-CN
半妖精の素,半妖精之素,zh-CN
N Demon Card,鼻恶魔之素,zh-CN
鼻悪魔の素,鼻恶魔之素,zh-CN
Heart of Vlad,心脏,zh-CN
心臓,心脏,zh-CN
Tooth of Vlad,爪,zh-CN
爪,爪,zh-CN
Rib of Vlad,肋骨,zh-CN
あばら骨,肋骨,zh-CN
Ring of Vlad,戒指,zh-CN
指輪,戒指,zh-CN
Eye of Vlad,眼珠,zh-CN
目玉,眼珠,zh-CN
Potion,生命药水,zh-CN
ポーション,生命药水,zh-CN
High Potion,高级生命药水,zh-CN
ハイポーション,高级生命药水,zh-CN
Elixir,特级生命药水,zh-CN
エクスポーション,特级生命药水,zh-CN
Manna Prism,魔晶石,zh-CN
マナプリズム,魔晶石,zh-CN
Heart Refresh,爱心恢复,zh-CN
ハートリペア,爱心恢复,zh-CN
Antivenom,解毒剂,zh-CN
